Teff,logg
8040.40,4.5717
8686.87,3.9283
8056.57,4.5788
8800.00,3.9778
8791.92,4.5788
8775.76,3.9636
8080.81,4.5929
8783.84,4.5859
8694.95,3.9283
8096.97,4.6000
8016.16,4.5576
8646.46,3.9000
8767.68,4.5929
8775.76,4.5929
8678.79,3.9141
8751.52,3.9495
8024.24,4.5646
8064.65,4.5859
8703.03,4.6000
8711.11,3.9354
8711.11,4.6000
8791.92,3.9707
8719.19,3.9354
8670.71,3.9071
8783.84,3.9636
8727.27,3.9424
8686.87,3.9212
8654.55,3.9000
8759.60,3.9495
8694.95,3.9212
8719.19,4.6000
8775.76,3.9566
8088.89,4.6000
8800.00,4.5788
8703.03,3.9283
8791.92,4.5859
8735.35,3.9424
8016.16,4.5646
8727.27,4.6000
8735.35,4.6000
8008.08,4.5576
8767.68,3.9495
8662.63,3.9000
8048.48,4.5788
8056.57,4.5859
8783.84,4.5929
8678.79,3.9071
8791.92,3.9636
8783.84,3.9566
8072.73,4.5929
8032.32,4.5717
8727.27,3.9354
8743.43,4.6000
8703.03,3.9212
8743.43,3.9424
8751.52,4.6000
8759.60,4.6000
8711.11,3.9283
8686.87,3.9141
8040.40,4.5788
8719.19,3.9283
8694.95,3.9141
8800.00,4.5859
8000.00,4.5576
8800.00,3.9707
8670.71,3.9000
8735.35,3.9354
8008.08,4.5646
8751.52,3.9424
8080.81,4.6000
8775.76,3.9495
8791.92,3.9566
8791.92,4.5929
8711.11,3.9212
8048.48,4.5859
8024.24,4.5717
8719.19,3.9212
8767.68,4.6000
8775.76,4.6000
8703.03,3.9141
8759.60,3.9424
8743.43,3.9354
8064.65,4.5929
8783.84,3.9495
8678.79,3.9000
8727.27,3.9283
8686.87,3.9071
8040.40,4.5859
8800.00,3.9636
8000.00,4.5646
8694.95,3.9071
8767.68,3.9424
8751.52,3.9354
8800.00,4.5929
8735.35,3.9283
8016.16,4.5717
8711.11,3.9141
8072.73,4.6000
8032.32,4.5788
8719.19,3.9141
8759.60,3.9354
8727.27,3.9212
8791.92,3.9495
8703.03,3.9071
8783.84,4.6000
8056.57,4.5929
8800.00,3.9566
8743.43,3.9283
8735.35,3.9212
8767.68,3.9354
8775.76,3.9424
8686.87,3.9000
8008.08,4.5717
8024.24,4.5788
8751.52,3.9283
8727.27,3.9141
8711.11,3.9071
8719.19,3.9071
8743.43,3.9212
8032.32,4.5859
8064.65,4.6000
8791.92,4.6000
8783.84,3.9424
8759.60,3.9283
8694.95,3.9000
8735.35,3.9141
8048.48,4.5929
8751.52,3.9212
8775.76,3.9354
8800.00,3.9495
8000.00,4.5717
8016.16,4.5788
8767.68,3.9283
8759.60,3.9212
8800.00,4.6000
8040.40,4.5929
8743.43,3.9141
8727.27,3.9071
8703.03,3.9000
8024.24,4.5859
8791.92,3.9424
8783.84,3.9354
8056.57,4.6000
8767.68,3.9212
8735.35,3.9071
8751.52,3.9141
8008.08,4.5788
8759.60,3.9141
8711.11,3.9000
8016.16,4.5859
8719.19,3.9000
8775.76,3.9283
8743.43,3.9071
8791.92,3.9354
8800.00,3.9424
8767.68,3.9141
8048.48,4.6000
8751.52,3.9071
8000.00,4.5788
8775.76,3.9212
8783.84,3.9283
8032.32,4.5929
8759.60,3.9071
8008.08,4.5859
8727.27,3.9000
8040.40,4.6000
8783.84,3.9212
8791.92,3.9283
8800.00,3.9354
8767.68,3.9071
8735.35,3.9000
8775.76,3.9141
8000.00,4.5859
8791.92,3.9212
8024.24,4.5929
8743.43,3.9000
8783.84,3.9141
8800.00,3.9283
8032.32,4.6000
8775.76,3.9071
8751.52,3.9000
8791.92,3.9141
8016.16,4.5929
8759.60,3.9000
8800.00,3.9212
8783.84,3.9071
8767.68,3.9000
8024.24,4.6000
8791.92,3.9071
8008.08,4.5929
8800.00,3.9141
8775.76,3.9000
8000.00,4.5929
8016.16,4.6000
8800.00,3.9071
8783.84,3.9000
8008.08,4.6000
8791.92,3.9000
8000.00,4.6000
8800.00,3.9000
