Teff,logg,source
7881.36,5.0143,neural
8918.64,4.9415,neural
8979.66,4.5776,neural
7861.02,5.0143,neural
8918.64,3.7768,neural
8938.98,4.9415,neural
8979.66,3.5585,neural
7881.36,3.7768,neural
8959.32,4.9415,neural
7901.69,4.7232,neural
9000.00,4.9415,neural
8979.66,4.9415,neural
7942.37,4.9415,neural
9000.00,3.5585,neural
7800.00,5.0143,neural
8918.64,4.6504,neural
7820.34,5.0143,neural
7840.68,5.0143,neural
7881.36,4.7232,neural
7922.03,4.9415,neural
8938.98,4.6504,neural
7901.69,4.9415,neural
8898.31,3.6313,neural
8898.31,4.8687,neural
7800.00,3.6313,neural
8898.31,3.7040,neural
7901.69,3.6313,neural
8918.64,4.8687,neural
7901.69,3.7040,neural
8918.64,3.6313,neural
8959.32,4.6504,neural
7901.69,4.7960,neural
9000.00,4.8687,neural
7881.36,4.9415,neural
7881.36,3.6313,neural
9000.00,4.6504,neural
8918.64,3.7040,neural
8898.31,4.7232,neural
7861.02,4.9415,neural
7800.00,3.7768,neural
7800.00,4.9415,neural
7840.68,4.9415,neural
7820.34,4.9415,neural
9000.00,3.7768,neural
7901.69,4.8687,neural
7881.36,4.7960,neural
8979.66,4.6504,neural
7881.36,3.7040,neural
7800.00,3.7040,neural
8918.64,4.7232,neural
7800.00,4.7232,neural
7881.36,4.8687,neural
8898.31,4.7960,neural
9000.00,3.6313,neural
8918.64,4.7960,neural
9000.00,4.7960,neural
7800.00,4.8687,neural
9000.00,4.7232,neural
9000.00,3.7040,neural
7800.00,4.7960,neural
8227.12,3.9952,neural
8084.75,3.9952,neural
8145.76,3.9952,neural
8206.78,3.9952,neural
8145.76,3.9224,neural
8064.41,3.9952,neural
8247.46,3.9952,neural
8694.92,4.2136,neural
8796.61,4.5776,neural
8267.80,4.5776,neural
8776.27,4.5776,neural
8511.86,4.0680,neural
8166.10,3.9224,neural
8552.54,4.5776,neural
8186.44,3.9224,neural
8064.41,3.9224,neural
8572.88,4.5776,neural
8593.22,4.5776,neural
8125.42,3.9224,neural
8003.39,3.9224,neural
8186.44,3.9952,neural
8532.20,4.5776,neural
8084.75,3.9224,neural
8044.07,3.9224,neural
8267.80,3.9952,neural
8450.85,4.5776,neural
8471.19,4.5776,neural
8511.86,4.5776,neural
8491.53,4.5776,neural
8430.51,4.5776,neural
8166.10,3.9952,neural
8023.73,3.9224,neural
8105.08,3.9224,neural
