Teff,logg
8413.79,4.5759
8386.21,4.5759
8275.86,4.0690
8275.86,4.4793
8634.48,4.1897
8634.48,4.6000
8027.59,4.0690
8551.72,4.1897
8248.28,4.1897
8027.59,4.4793
8772.41,4.4793
8551.72,4.6000
8248.28,4.6000
8468.97,4.5276
8331.03,4.5276
8689.66,4.5517
8110.34,4.5517
8331.03,4.1172
8468.97,4.1172
8717.24,4.1655
8082.76,4.1655
8386.21,4.2379
8413.79,4.2621
8386.21,4.2621
8413.79,4.2379
8110.34,4.1414
8689.66,4.1414
8717.24,4.5759
8082.76,4.5759
8275.86,4.1655
8275.86,4.5759
8634.48,4.2138
8027.59,4.1655
8772.41,4.1655
8248.28,4.2138
8551.72,4.2138
8027.59,4.5759
8772.41,4.5759
8331.03,4.0690
8386.21,4.5517
8413.79,4.5517
8468.97,4.4793
8331.03,4.4793
8717.24,4.2621
8717.24,4.2379
8082.76,4.2379
8082.76,4.2621
8413.79,4.1414
8386.21,4.1414
8275.86,4.2621
8137.93,4.5034
8662.07,4.5034
8275.86,4.2379
8634.48,4.5276
8634.48,4.1172
8551.72,4.5276
8248.28,4.5276
8027.59,4.2621
8027.59,4.2379
8772.41,4.2621
8772.41,4.2379
8551.72,4.1172
8248.28,4.1172
8165.52,4.5034
8468.97,4.1655
8331.03,4.1655
8717.24,4.5517
8082.76,4.5517
8468.97,4.5759
8331.03,4.5759
8717.24,4.1414
8082.76,4.1414
8662.07,4.1897
8137.93,4.1897
8275.86,4.5517
8358.62,4.5034
8441.38,4.5034
8137.93,4.6000
8662.07,4.6000
8275.86,4.1414
8634.48,4.4793
8027.59,4.5517
8772.41,4.5517
8248.28,4.0690
8165.52,4.1897
8027.59,4.1414
8772.41,4.1414
8165.52,4.6000
8248.28,4.4793
8551.72,4.4793
8468.97,4.2621
8331.03,4.2379
8331.03,4.2621
8468.97,4.2379
8441.38,4.1897
8358.62,4.1897
8137.93,4.2138
8662.07,4.2138
8744.83,4.5034
8055.17,4.5034
8441.38,4.6000
8358.62,4.6000
8634.48,4.1655
8634.48,4.5759
8248.28,4.1655
8551.72,4.1655
8165.52,4.2138
8551.72,4.5759
8248.28,4.5759
8331.03,4.5517
8468.97,4.5517
8331.03,4.1414
8468.97,4.1414
8137.93,4.5276
8662.07,4.5276
8744.83,4.1897
8055.17,4.1897
8441.38,4.2138
8358.62,4.2138
8662.07,4.1172
8137.93,4.1172
8744.83,4.6000
8055.17,4.6000
8634.48,4.2379
8634.48,4.2621
8165.52,4.5276
8248.28,4.2621
8551.72,4.2621
8248.28,4.2379
8551.72,4.2379
8165.52,4.1172
8441.38,4.5276
8358.62,4.5276
8137.93,4.0690
8055.17,4.2138
8744.83,4.2138
8358.62,4.1172
8441.38,4.1172
8137.93,4.4793
8662.07,4.4793
8634.48,4.5517
8634.48,4.1414
8551.72,4.5517
8248.28,4.5517
8165.52,4.0690
8248.28,4.1414
8551.72,4.1414
8165.52,4.4793
8744.83,4.5276
8055.17,4.5276
8358.62,4.0690
8662.07,4.1655
8137.93,4.1655
8055.17,4.1172
8744.83,4.1172
8441.38,4.4793
8358.62,4.4793
8662.07,4.5759
8137.93,4.5759
8165.52,4.1655
8165.52,4.5759
8055.17,4.0690
8358.62,4.1655
8441.38,4.1655
8662.07,4.2379
8137.93,4.2379
8662.07,4.2621
8137.93,4.2621
8055.17,4.4793
8744.83,4.4793
8441.38,4.5759
8358.62,4.5759
8165.52,4.2621
8165.52,4.2379
8137.93,4.5517
8662.07,4.5517
8055.17,4.1655
8744.83,4.1655
8441.38,4.2621
8441.38,4.2379
8358.62,4.2379
8358.62,4.2621
8662.07,4.1414
8137.93,4.1414
8055.17,4.5759
8744.83,4.5759
8165.52,4.5517
8165.52,4.1414
8358.62,4.5517
8441.38,4.5517
8744.83,4.2379
8055.17,4.2621
8744.83,4.2621
8055.17,4.2379
8441.38,4.1414
8358.62,4.1414
8744.83,4.5517
8055.17,4.5517
8744.83,4.1414
8055.17,4.1414
