Teff,logg
8735.35,4.1899
8711.11,4.5222
8274.75,4.5152
8711.11,4.1970
8581.82,4.4869
8767.68,4.1828
8678.79,4.5293
8274.75,4.5788
8646.46,4.5293
8686.87,4.5293
8557.58,4.5364
8678.79,4.1545
8509.09,4.4869
8331.31,4.5859
8315.15,4.5859
8614.14,4.4798
8791.92,4.1970
8412.12,4.4869
8614.14,4.4869
8379.80,4.5929
8387.88,4.4727
8767.68,4.1616
8282.83,4.5293
8783.84,4.1545
8210.10,4.5576
8412.12,4.4727
8589.90,4.5222
8783.84,4.5010
8638.38,4.5364
8638.38,4.5293
8509.09,4.4727
8387.88,4.4869
8290.91,4.5081
8315.15,4.5364
8711.11,4.1545
8791.92,4.5081
8565.66,4.5364
8509.09,4.4798
8589.90,4.4939
8412.12,4.4798
8767.68,4.1758
8589.90,4.4798
8387.88,4.4798
8290.91,4.5364
8315.15,4.5222
8686.87,4.1899
8735.35,4.1758
8420.20,4.5859
8355.56,4.6000
8387.88,4.5929
8678.79,4.1828
8727.27,4.1899
8662.63,4.1616
8662.63,4.1687
8686.87,4.5222
8767.68,4.1687
8282.83,4.5152
8686.87,4.1545
8783.84,4.1899
8525.25,4.5434
8719.19,4.1616
8670.71,4.1758
8775.76,4.1828
8315.15,4.5293
8727.27,4.1687
8347.47,4.6000
8735.35,4.1828
8266.67,4.5788
8589.90,4.4869
8282.83,4.5222
8573.74,4.5364
8444.44,4.5788
8630.30,4.5293
8589.90,4.5293
8614.14,4.5293
8791.92,4.1545
8775.76,4.1616
8533.33,4.5434
8258.59,4.5788
8719.19,4.1899
8670.71,4.1616
8290.91,4.5152
8622.22,4.5293
8775.76,4.1758
8371.72,4.5929
8290.91,4.5293
8727.27,4.1758
8775.76,4.1687
8727.27,4.1828
8274.75,4.5929
8290.91,4.5222
8791.92,4.1899
8670.71,4.1687
8589.90,4.5505
8339.39,4.5859
8783.84,4.1828
8630.30,4.5364
8719.19,4.1687
8711.11,4.1616
8783.84,4.1616
8791.92,4.5010
8678.79,4.1616
8476.77,4.5576
8711.11,4.1899
8678.79,4.1758
8686.87,4.1828
8266.67,4.5859
8282.83,4.6000
8541.41,4.5434
8719.19,4.1828
8783.84,4.1758
8686.87,4.1616
8339.39,4.6000
8719.19,4.1758
8444.44,4.5646
8783.84,4.1687
8678.79,4.1687
8517.17,4.5646
8347.47,4.5859
8371.72,4.5788
8581.82,4.5364
8614.14,4.5434
8791.92,4.1616
8541.41,4.5576
8711.11,4.1687
8791.92,4.1828
8290.91,4.5859
8686.87,4.1758
8711.11,4.1828
8363.64,4.5929
8484.85,4.5717
8686.87,4.1687
8581.82,4.5505
8711.11,4.1758
8274.75,4.5859
8347.47,4.5929
8355.56,4.5859
8791.92,4.1687
8791.92,4.1758
8412.12,4.5859
8622.22,4.5364
8355.56,4.5929
8549.49,4.5434
8282.83,4.5859
8323.23,4.5929
8565.66,4.5505
8452.53,4.5646
8573.74,4.5505
8557.58,4.5505
8339.39,4.5929
8331.31,4.5929
8509.09,4.5505
8436.36,4.5788
8282.83,4.5929
8331.31,4.6000
8315.15,4.5929
8412.12,4.5717
8557.58,4.5434
8589.90,4.5364
8614.14,4.5364
8533.33,4.5576
8549.49,4.5505
8290.91,4.6000
8565.66,4.5434
8379.80,4.5788
8460.61,4.5646
8452.53,4.5717
8363.64,4.5859
8323.23,4.6000
8573.74,4.5434
8476.77,4.5717
8290.91,4.5929
8460.61,4.5717
8420.20,4.5717
8484.85,4.5576
8428.28,4.5717
8444.44,4.5717
8468.69,4.5717
8315.15,4.6000
8541.41,4.5505
8468.69,4.5646
8581.82,4.5434
8371.72,4.5859
8517.17,4.5505
8428.28,4.5788
8509.09,4.5646
8436.36,4.5717
8589.90,4.5434
8525.25,4.5576
8533.33,4.5505
8379.80,4.5859
8387.88,4.5788
8525.25,4.5505
8420.20,4.5788
8387.88,4.5859
8476.77,4.5646
8517.17,4.5576
8412.12,4.5788
8484.85,4.5646
8509.09,4.5576
